"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"mpg",-0.362530503570248,0.0161243985163208,-0.225744191600349,-0.0225402545370115,0.10284468186903,-0.108797432295817,0.367723810215778,-0.754091423405171,0.235701617084319,0.139285244104215,-0.124895627628099
"cyl",0.373916027207363,0.0437437127064631,-0.175311179123713,-0.00259183756793239,0.0584838050594608,0.168553694041901,0.0572777363940778,-0.230824925405119,0.0540352703368636,-0.846419493483178,-0.140695441132903
"disp",0.368185195850188,-0.0493241262404402,-0.0614841356007533,0.256607884796865,0.393995300710122,-0.336164511716844,0.214303077045438,0.00114213395383819,0.1984278480705,0.0493797866842589,0.660606481358921
"hp",0.33005692455408,0.248784020407148,0.14001476307851,-0.0676761565834658,0.540047440871116,0.0714356301528358,-0.00149598901069185,-0.22235844125999,-0.575830072255451,0.247823505075194,-0.256492062027615
"drat",-0.294151382375774,0.274694084983455,0.161188791134071,0.854828742593403,0.0773272737155335,0.244497048163834,0.0211198570213382,0.0321935011524789,-0.0469012284059036,-0.101493689976207,-0.0395302459050021
"wt",0.346103316387423,-0.143038250827458,0.341818510511097,0.245899314419679,-0.0750291244088711,-0.464939638046572,-0.0206683022585327,-0.00857192892040881,0.359498250631486,0.0943942635307436,-0.567448697074051
"qsec",-0.200456346987391,-0.463374818728876,0.40316903866704,0.0680765318892522,-0.164665905706805,-0.330480321701272,0.0500105222644896,-0.231840021232445,-0.528377185444635,-0.270672949769115,0.181361779973964
"vs",-0.306511321114926,-0.231646992790123,0.428815171723821,-0.214848616392456,0.59953955423826,0.19401702061253,-0.265780835976992,0.0259351278917342,0.358582623747015,-0.159039090015869,0.00841463439839589
"am",-0.234942890562829,0.429417653281149,-0.205766566472031,-0.0304629081903509,0.0897812805037738,-0.570817446657114,-0.587305100650421,-0.0597469519293007,-0.0474039824452038,-0.177785411086315,0.0298235372265993
"gear",-0.20691623728579,0.462348633955814,0.289779929845737,-0.264690520655232,0.0483295989974605,-0.243562841473885,0.60509761653838,0.33615023968992,-0.00173503923322522,-0.21382515388267,-0.0535070845435327
"carb",0.214017656336106,0.413571057299848,0.528544590595573,-0.126789179103491,-0.361318748126192,0.183521679089104,-0.174603191610635,-0.395629107112733,0.170640677337725,0.0722595046717511,0.319594676142174
