"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"Mazda RX4",-0.646862741991581,1.708114157382,-0.59173091375282,0.113702214478196,-0.945523363388152,-0.0169873732606935,-0.426486515518699,-0.0096312173041701,0.146423029710472,-0.0667034973011988,0.179693569811095
"Mazda RX4 Wag",-0.619483146032678,1.52562193917473,-0.376301265386767,0.199121209777824,-1.01668073972765,-0.241724643387999,-0.416200456843782,-0.0845202131259307,0.0745282864197426,-0.126927662220718,0.0886442647685759
"Datsun 710",-2.73562427480534,-0.144150068596966,-0.237439060356257,-0.245215450111446,0.398762287604799,-0.348767813764078,-0.608841460355605,0.585255764648682,-0.131228588931301,0.0457378737714111,-0.0946329140320387
"Hornet 4 Drive",-0.306860626843513,-2.32580380903322,-0.133621257173059,-0.503800354590464,0.549208936481309,0.0192969984151913,-0.0403607462018435,-0.0495830294653009,0.22021811540659,-0.0603998072532052,0.147611268829399
"Hornet Sportabout",1.94339268444143,-0.742521100774159,-1.11653660016158,0.0744619627205322,0.207515697656806,0.149192760584473,0.383508161674431,-0.160297757289973,-0.0211762348693438,-0.0598300301362444,0.146406898792118
"Valiant",-0.055253422814859,-2.74212285210061,0.161245576607978,-0.97516742532332,0.211665375467423,-0.243835854612755,-0.294641600215087,0.256612420164309,-0.0322290681013364,-0.201654659184299,0.0195450635077686
"Duster 360",2.9553851233226,0.329613273076664,-0.357046141420441,-0.0515292158334334,0.343847875421708,0.712692086838431,-0.136077921252119,-0.171103449440824,-0.178445468186549,0.360866414286497,0.17186316178779
"Merc 240D",-2.02295932440031,-1.44210564884825,0.929029456609805,-0.142129081729663,-0.316651386096346,-0.000988939087013599,0.639462144792032,0.163156195013355,0.376984182921912,0.290865291425139,-0.0190903577657268
"Merc 230",-2.25138395353752,-1.95228789731055,1.76893636971294,0.287210957179947,-0.333682354504239,-0.33387033841655,0.622010341702698,-0.105779935744706,-0.864553563740265,-0.115970576193431,0.159688511798155
"Merc 280",-0.518091221728405,-0.159461041828362,1.4692603018852,0.0662633621449184,-0.0696241613512086,0.816530836529527,0.161170903966465,0.0999833126095176,0.540924493474934,-0.220937501375324,-0.124486226732504
"Merc 280C",-0.50118600787997,-0.318793441307614,1.65707006160945,0.0943572223289081,-0.148803649821682,0.730838375746357,0.0925443046682985,0.197306565524257,0.30876071880879,-0.344175640148645,-0.0345785675380072
"Merc 450SE",2.21240963394367,-0.67270993718978,-0.369470744036155,-0.129797905075573,-0.378611140784464,0.13170147622538,-0.0164549844234098,-0.19409243541608,-0.0561496557816789,-0.0653172726795903,-0.396445135053432
"Merc 450SL",2.01557156931526,-0.672460628132506,-0.476834146154911,-0.210991000964385,-0.355611762905673,0.240026380498399,0.0512362252589782,-0.32966998960229,-0.205010553767989,-0.107613084142394,-0.197616838019142
"Merc 450SLC",2.11470473715854,-0.789112883929224,-0.290461986407637,-0.175332868115516,-0.432140302708657,0.180199732466746,-0.0667531572164979,-0.119252581790103,-0.387041688196208,-0.211910362592239,-0.142498830023046
"Cadillac Fleetwood",3.83837251175931,-0.814908706545934,0.637097197062241,0.290505876894625,-0.0482452228555867,-0.884473548302987,-0.16615295632073,0.138398782751719,0.19333386948478,0.0618497913736826,0.262886204993303
"Lincoln Continental",3.89184956261245,-0.72183142826848,0.709261183724561,0.40533689762528,0.00389917607819146,-0.862586898114207,-0.192508733015391,0.129305867964284,0.195235621993048,0.120948488301514,0.0391910999572913
"Chrysler Imperial",3.53638621577644,-0.414502411607564,0.540246776077895,0.665665306346471,0.208027111806388,-0.653644730044525,0.0344980429919394,-0.391104140589224,0.27447513651896,0.275881687168568,-0.224420191093722
"Fiat 128",-3.79555108306374,-0.292078339457295,-0.416168080348113,0.0551910581769301,0.219981109034363,-0.467579634264846,-0.0374994120960044,-0.625278745910309,0.105503112508573,-0.0271707731907949,-0.208865888116014
"Honda Civic",-4.18703567835539,0.677572148195181,-0.203583064003277,1.16752609644074,0.0976740913078955,0.518055427949268,-0.253162909505849,-0.39504556467413,0.237116751528386,-0.15433928445838,0.24683536409212
"Toyota Corolla",-4.16753593437767,-0.274888954211299,-0.458912415137239,0.1833130284972,0.222152227671813,-0.317152112413254,0.0661753985891848,-0.853947085115753,-0.113136266657386,-0.126068449721138,-0.031747839039138
"Toyota Corona",-1.87417908700134,-2.08645294508712,0.154326541711033,0.0505141259992767,0.0392990019790053,0.72369925585796,-0.280278084260297,0.207237626610971,-0.446469717754062,0.511476349767389,0.0636797250518166
"Dodge Challenger",2.15044149423781,-0.998244226021289,-1.15036394999768,-0.584982249148005,-0.226237802177975,0.106218194164345,0.0948958494408305,0.316055389611894,0.104356332021468,-0.13641142645254,0.0495944557736212
"AMC Javelin",1.83403697968866,-0.892188609878277,-0.94728723351474,0.00569407082416662,-0.252565496416462,0.288810199681628,0.0816191622991587,0.321900593192713,-0.122376355170188,-0.296286339521959,0.0452930268451567
"Camaro Z28",2.84349575230407,0.670103706296246,-0.160559252080388,0.814340104688477,0.389118985689639,0.946879517091293,-0.211579757856852,0.0386573313055063,-0.0528299100610057,0.326245250932401,-0.0993863073008632
"Pontiac Firebird",2.21054791484527,-0.860050447390969,-1.027957684948,0.146420497435568,0.299261925054627,-0.198331038695202,0.472698651473126,-0.234144182476921,0.208490428038165,0.0154767409826829,0.122593248478154
"Fiat X1-9",-3.51768181338584,-0.119294980251513,-0.446471584885806,-0.0134273528224839,0.206753365436045,-0.144990564111136,-0.358503050122039,0.0891097641516325,-0.0222896685816515,-0.0841401751924915,-0.00574644838695815
"Porsche 914-2",-2.60950039650561,2.01414254497138,-0.817251880205748,0.568564788791107,-0.597313744262071,-0.339426506465134,0.820329646079311,0.634987241223092,-0.129996601015328,0.349681562890759,-0.111596656485118
"Lotus Europa",-3.33238445122355,1.35688767437804,-0.446716729755043,-1.15319753143998,0.694667639828792,0.0165037717672415,0.510180111122124,0.00414077670104315,0.296803499916266,0.239803078019403,0.0300155922389307
"Ford Pantera L",1.35133469570774,3.44487804193946,-0.134394339458653,0.590098357992156,1.10164809054667,-0.174615663455677,0.413588680159671,0.609167214190541,-0.232807918418327,-0.502628901797455,-0.0422425696463681
"Ferrari Dino",-0.000974330453741623,3.16837497071242,0.395761012093747,-0.938933016637523,-0.848833975733595,-0.00975699210357128,0.0296788252213624,0.0141878012062524,0.0981357052316099,0.144918154808373,0.043006834639743
"Maserati Bora",2.62708976050828,4.31070158074423,1.3315940460601,-0.877332803547705,0.455265189104887,-0.0156094416282658,-0.188137297510449,-0.558646791585762,-0.340811329629787,0.0470636788560061,0.0621354855065224
"Volvo 142E",-2.38247114122046,0.229960320900626,0.405279806029363,0.223549116997174,0.321777016563393,-0.326302921688355,-0.779957406724959,0.476634472661703,-0.044736695121298,0.117671080978221,-0.145329007639481
