"","tS1","tS2"
"Mazda RX4",2.20901079869541,22.5615403487872
"Mazda RX4 Wag",-5.54431516817672,22.1439186745869
"Datsun 710",-9.78084128637485,45.054779449492
"Hornet 4 Drive",6.05558721387058,-10.8147650131985
"Hornet Sportabout",7.8254244755786,-41.8497622097136
"Valiant",5.01628155645876,-2.99810057581145
"Duster 360",-1.14310254590219,-47.8555764457351
"Merc 240D",8.06160868752582,31.5481316224006
"Merc 230",-2.56290722001443,30.7069774376455
"Merc 280",2.74560716362013,14.7788657428057
"Merc 280C",-4.60253859353384,13.7253105121969
"Merc 450SE",10.8476785233702,-26.2124188544784
"Merc 450SL",17.9259974889545,-25.4081600507966
"Merc 450SLC",12.1076827812354,-19.6051277105677
"Cadillac Fleetwood",8.8368736988199,-59.659895882604
"Lincoln Continental",1.85261774050492,-63.5630026204047
"Chrysler Imperial",0.629214276761828,-56.1208979798314
"Fiat 128",-6.44512577733764,55.0423534308071
"Honda Civic",-8.29625048886418,63.0829754801233
"Toyota Corolla",-0.152890177418226,59.5413785426357
"Toyota Corona",-5.29975743541035,39.0577892202095
"Dodge Challenger",11.3690869877812,-33.9744888507064
"AMC Javelin",3.55054976737137,-26.8827692746718
"Camaro Z28",-3.18401477673114,-40.5775383625133
"Pontiac Firebird",8.56017358094802,-49.9400011449257
"Fiat X1-9",-13.9485842714504,56.1577951075926
"Porsche 914-2",-11.6340451334163,36.1210465133538
"Lotus Europa",-0.226193290414063,47.23833570862
"Ford Pantera L",-8.37312574594724,-46.5497058536792
"Ferrari Dino",-14.2948997964364,15.5982771638314
"Maserati Bora",-13.740455749098,-39.2654992416296
"Volvo 142E",1.63565271502931,38.9182351161791
