"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"Alcohol",-0.144329395406012,0.483651547817214,-0.207382624116357,0.0178563014555044,-0.265663652923371,0.213538648009079,-0.0563963580348741,0.396139258457789,-0.50861911626487,0.211604727081421,0.225916962136746,-0.266286450846061,0.0149699706388025
"Malic",0.24518758025722,0.224930934627845,0.0890128856596579,-0.536890283549978,0.0352136282913465,0.536813849972435,0.420523909322631,0.0658267435952509,0.0752830441010851,-0.309079943614173,-0.0764855392508652,0.121696035385378,0.0259637460803516
"Ash",0.00205106144437085,0.316068814025316,0.626223900869347,0.214175562205768,-0.143025473789543,0.154474664699382,-0.149170611349505,-0.170260020873333,0.307694445297799,-0.0271253886293435,0.498691415106468,-0.0496223732646146,-0.141218031751628
"Alcalinity",0.239320405487535,-0.0105905022881908,0.612080349945784,-0.060859414458745,0.066102941574512,-0.10082450514463,-0.28696913571381,0.427970182886864,-0.200449313902046,0.0527994238696783,-0.479313780067566,-0.055742869086884,0.0916828545807556
"Magnesium",-0.141992041952987,0.299634003237862,0.130756934850279,0.351796580147533,0.72704851477621,0.0381439399109414,0.322883302632055,-0.156361432850575,-0.27140257227013,0.0678702228207973,-0.0712889146583882,0.0622201053931168,0.0567742218789045
"Phenols",-0.39466084506663,0.0650395118192795,0.146178963484672,-0.198068347901216,-0.149318409307231,-0.0841222998183011,-0.0279249752899231,-0.405934085620906,-0.286034520052902,-0.320131352164511,-0.304341187942284,-0.303882451132638,-0.463907913905523
"Flavanoids",-0.422934296710059,-0.00335981210030817,0.150681899899448,-0.152294794590673,-0.109025838400409,-0.0189200230898133,-0.0606852142141251,-0.187245356547008,-0.0495784918486972,-0.163150509751005,0.025694093489022,-0.04289882871921,0.8322570647314
"Nonflavanoids",0.298533102954715,0.0287794881129869,0.170368162359649,0.203301019890231,-0.500702983199454,-0.258594010968591,0.595447289150867,-0.233284649227591,-0.195501319471287,0.215535070261386,-0.11689586310384,0.0423521886893242,0.114039849740328
"Proanthocyanins",-0.313429488307689,0.0393017222897326,0.149454309462027,-0.399056532872227,0.136859821154833,-0.53379538850053,0.37213934573762,0.368226750279577,0.209144867712594,0.134183900044522,0.237362565347748,-0.0955530271182383,-0.116917067186194
"Color",0.0886167047247222,0.529995672070045,-0.137306212490243,-0.0659256816439296,-0.0764367795521693,-0.418644141546827,-0.227712140244871,-0.0337969168926352,-0.0562175227657195,-0.290775184010723,-0.0318387982493394,0.604221625671042,-0.0119928024699891
"Hue",-0.296714563586381,-0.279235147924283,0.0852219225068913,0.427771409391233,-0.173614522072037,0.105982742490923,0.232075641351281,0.43662362487713,-0.0858283946870712,-0.522398886998484,0.0482120095676631,0.25921399528223,-0.0898888445410237
"Dilution",-0.376167410738713,-0.164496192835785,0.166004588087527,-0.184120742756138,-0.101160988863857,0.265851074505722,-0.0447637007414819,-0.078107892307026,-0.137226901916567,0.523705868264323,-0.0464232974704103,0.600958720602045,-0.156718134729918
"Proline",-0.286752226896806,0.364902831798082,-0.126745917347701,0.232070860359595,-0.15786879990457,0.119725572012552,0.0768045046025001,0.12002266897606,0.575786107477024,0.16211599759002,-0.539269827675856,-0.0794016217292429,0.0144473367014654
